x,y,z,pitch,yaw,roll
276.4884948730469,-145.76121520996094,-0.186650812625885,0.5680667757987976,168.3458709716797,5.603060722351074
273.4057312011719,-144.93801879882812,-0.13519927859306335,0.9774273633956909,164.5947265625,4.152712821960449
270.7890625,-144.4064483642578,-0.09908836334943771,0.5920407772064209,169.42332458496094,3.7953476905822754
268.49273681640625,-144.57383728027344,-0.1120176687836647,-0.43554064631462097,-176.43775939941406,4.001393795013428
266.56396484375,-144.72145080566406,-0.1238902285695076,-0.22793705761432648,-176.20758056640625,4.197737693786621
264.3876953125,-144.83750915527344,-0.1329784393310547,-0.04184173792600632,-176.96005249023438,4.12061882019043
262.4430236816406,-144.95263671875,-0.14161944389343262,-0.22289638221263885,-177.0179901123047,4.076007843017578
259.8951721191406,-145.1049041748047,-0.15261131525039673,-0.24524475634098053,-177.04086303710938,3.9856581687927246
257.3551025390625,-145.25521850585938,-0.1638309508562088,-0.264253169298172,-177.1475830078125,3.8706064224243164
255.55419921875,-145.35540771484375,-0.17077365517616272,-0.3289487361907959,-177.16612243652344,3.7895619869232178
253.65594482421875,-145.4613800048828,-0.1790763884782791,-0.16802947223186493,-177.1614990234375,3.692969560623169
251.6659698486328,-145.57113647460938,-0.18722224235534668,-0.14547619223594666,-177.17352294921875,3.6107869148254395
249.685546875,-145.6798858642578,-0.19468890130519867,-0.2922911047935486,-177.23260498046875,3.489859104156494
248.2637176513672,-145.75701904296875,-0.20104190707206726,-0.07410071790218353,-177.2234649658203,3.437129020690918
245.73887634277344,-145.8929443359375,-0.21033267676830292,-0.1139138862490654,-177.2942657470703,3.2365710735321045
243.2162628173828,-146.0099334716797,-0.21918132901191711,0.01592116989195347,-177.90663146972656,3.14050555229187
239.7317352294922,-146.1107635498047,-0.22852714359760284,-0.2015998512506485,-178.6139373779297,2.694824695587158
237.00970458984375,-146.18954467773438,-0.23800094425678253,-0.2022418975830078,-178.6327667236328,2.5264437198638916
233.54660034179688,-146.28684997558594,-0.24996976554393768,-0.23566199839115143,-178.6549835205078,2.1152255535125732
230.22674560546875,-146.3769989013672,-0.26248398423194885,-0.27947765588760376,-178.68771362304688,1.7825121879577637
227.745361328125,-146.4417266845703,-0.2729761600494385,-0.31890833377838135,-178.71630859375,1.5777205228805542
225.3634490966797,-146.50228881835938,-0.2835274934768677,-0.27923861145973206,-178.73358154296875,1.2043156623840332
222.8871307373047,-146.56204223632812,-0.29532819986343384,-0.17617788910865784,-178.7499542236328,1.0341870784759521
219.54151916503906,-146.63949584960938,-0.31281375885009766,-0.22921431064605713,-178.78118896484375,0.6519101858139038
216.6873321533203,-146.7028350830078,-0.3291562497615814,-0.22174207866191864,-178.80136108398438,0.28199782967567444
212.9378204345703,-146.7804412841797,-0.3525114357471466,-0.30963295698165894,-178.83200073242188,-0.0760497972369194
209.88758850097656,-146.84120178222656,-0.3712701201438904,-0.35253337025642395,-178.85336303710938,-0.3868103325366974
206.24696350097656,-146.97596740722656,-0.3944474458694458,-0.48602256178855896,-177.5639190673828,-0.9136657118797302
203.71612548828125,-147.0782012939453,-0.4115856885910034,-0.4672532081604004,-177.5897979736328,-1.141326665878296
201.1945343017578,-147.17861938476562,-0.42784324288368225,-0.4928596019744873,-177.5482177734375,-1.2733458280563354
199.547607421875,-147.24485778808594,-0.4384649693965912,-0.4526912569999695,-177.55642700195312,-1.43585205078125
